"","SAMPLEID","ReferenceSite","nt_EPT_resid","pt_ti_cowa_warm_stenowarm_resid","pi_habitat_rheo","pi_NonIns","pi_Colesens_resid","MMI.2024"
"17","107GWCAPC:20100915:T:SR","REFERENCE",0.853841194797101,0.739688383727793,0.688415716226524,0.85546875,0.250390982632467,0.677561005476777
"18","107WER092:20030812:R:SR","REFERENCE",0.558230315285573,0.949920375701962,0.755907453111477,0.92578125,0.948605045882495,0.827688887996301
"19","11850-ORDEQ:19990729:R:SR","REFERENCE",0.596596978726554,0.632440376927867,0.699664339040683,0.96875,0.754429077087851,0.730376154356591
"20","119633","REFERENCE",0.717047755219852,0.677468412659663,0.710912961854841,0.97265625,0.697028509620766,0.755022777871025
"21","119663","REFERENCE",0.633115590208288,0.740070036582976,0.339708408987598,0.96484375,0.660469175319114,0.667641392219595
"22","12092-ORDEQ:20070814:R:SR","REFERENCE",0.868258270718302,0.825206002203447,0.946421318294532,0.994221332644628,0.700344153880941,0.86689021554837
"23","12181-ORDEQ:20000927:R:SR","REFERENCE",0.815628301360145,0.703823243594456,0.849645976562801,0.97265625,0.641827675284873,0.796716289360455
"24","12265-ORDEQ:20020912:R:SR","REFERENCE",0.740226932079027,0.261569881297505,0.812150567182271,0.984375,0.526290060104475,0.664922488132656
"25","123287","REFERENCE",0.589120653300447,0.418479838346857,0.673417552474312,0.9765625,0.0518667169447914,0.541889452213281
"26","123306","REFERENCE",0.940568490801353,0.601703602113458,0.950883581890231,0.96484375,0,0.691599884961008
"27","123315","REFERENCE",1,0.72315290931521,0.875892763129172,0.9609375,0.862715679832863,0.884539770455449
"28","123438","REFERENCE",0.610913384542722,0.312370314748658,0.958382663766337,0.92578125,0,0.561489522611543
"29","123444","REFERENCE",0.864061616326983,0.727387393309121,0.793402862492007,0.95703125,0.677551475295755,0.803886919484773
"30","12521-ORDEQ:20070828:R:SR","REFERENCE",0.537379441206956,0.843965538038827,0.287214835854857,0.27734375,0.677090111785113,0.524598735377151
"31","125362","REFERENCE",0.674367854151736,0.838224534131886,0.815900108120324,0.98828125,0.710577625092089,0.805470274299207
"32","126606","REFERENCE",0.504469129555338,0.773801475463938,0.107236870828315,1,0.80748194227321,0.63859788362416
"33","127205","REFERENCE",0.786741049630544,0.767227103945844,0.864644140315013,1,0.699260995668242,0.823574657911929
"34","12871-ORDEQ:20000811:R:SR","REFERENCE",0.849036398187542,0.957316129288052,0.887141385943331,0.94140625,0.472539868826264,0.821488006449038
"35","12886-ORDEQ:19970812:R:SR","REFERENCE",0.837825071074527,0.842824446702532,0.982618826931143,0.981261322463768,0.792973988954196,0.887500731225233
"36","12889-ORDEQ:20160627:R:SR","REFERENCE",1,0.662979068938749,0.890890926881384,0.94140625,0.70304866644737,0.8396649824535
"37","130065","REFERENCE",0.881198280957086,0.868331836306089,0.887141385943331,1,0.715748877033654,0.870484076048032
"38","130067","REFERENCE",0.678705546251451,0.581763715929353,1,1,0.714780030194105,0.795049858474982
"39","130119","REFERENCE",0.69884106799519,0.782617860317442,0.82339918999643,0.9921875,0.714216315040521,0.802252386669917
"40","130124","REFERENCE",0.848286258208379,1,0.917137713447754,0.9921875,0.882683055852266,0.92805890550168
"41","13014-ORDEQ:20020911:R:SR","REFERENCE",0.777786529462096,0.842571912768894,1,0.98828125,0.405511818082627,0.802830302062723
"42","131083","REFERENCE",0.71676225915541,1,0.992128532208814,0.98828125,0.628930644559769,0.865220537184798
"43","13200-ORDEQ:19980713:R:SR","REFERENCE",0.617370952368163,0.734565852748957,1,1,0.799510435126646,0.830289448048753
"44","13215-ORDEQ:19980715:R:SR","REFERENCE",1,0.869097126511663,0.83161736191545,0.871468321917808,0.645894020037169,0.843615366076418
"45","13224-ORDEQ:19980715:R:SR","REFERENCE",0.817650286118364,0.681533250114898,0.930176774495309,0.914697772491349,0.86015670319378,0.84084295728274
"46","13226-ORDEQ:19980708:R:SR","REFERENCE",0.853141170169287,0.524244429565533,0.913779915592781,0.955806902985075,0.842550893255131,0.817904662313561
"47","13231-ORDEQ:19990805:R:SR","REFERENCE",1,0.729322355610935,0.617174438403517,0.92578125,0.733179944733685,0.801091597749627
"48","13244-ORDEQ:19990909:R:SR","REFERENCE",0.940760770755842,0.914487307975998,0.849645976562801,0.9375,0.698867145322463,0.868252240123421
