"","metric","V1","V2"
"36","nt_TrichNoHydro","nt_TrichNoHydro~TMAX8110+ELEV+MWST_mean08.14+OM+INORGNWETDEP_2008+HYDRLCOND",0.217518413967943
"37","nt_Tromb","nt_Tromb~RCKDEP+OM+AREASQKM+KFFACT+MSST_mean08.14+MWST_mean08.14",0.195242833441349
"38","pi_Amph","pi_Amph~MGO+FE2O3+SIO2+NA2O",-0.0305404806620155
"39","pi_AmphIsop","pi_AmphIsop~MGO+FE2O3+SIO2+HYDRLCOND",-0.0404676917877809
"40","pi_Baet","pi_Baet~INORGNWETDEP_2008+TMAX8110+ELEV+PRECIP8110+MWST_mean08.14",0.0355248370854765
"41","pi_Bival","pi_Bival~PRECIP8110+CLAY+OM+S",0.000132888585213098
"42","pi_Caen","pi_Caen~AREASQKM",NA
"43","pi_Cheu","pi_Cheu~AREASQKM",NA
"44","pi_Coleo","pi_Coleo~KFFACT+PRECIP8110+MSST_mean08.14+TMAX8110+INORGNWETDEP_2008",0.192119488645927
"45","pi_COET","pi_COET~AREASQKM+TMAX8110+ELEV+PRECIP8110+MWST_mean08.14",0.0168194412442206
"46","pi_Corb","pi_Corb~AREASQKM",NA
"47","pi_CorixPhys","pi_CorixPhys~AREASQKM",NA
"48","pi_CraCaeGam","pi_CraCaeGam~P2O5+INORGNWETDEP_2008+SLOPE",-0.0979397956279955
"49","pi_Cru","pi_Cru~MGO+FE2O3+SIO2+NA2O+BFI",-0.04762435084891
"50","pi_CruMol","pi_CruMol~ELEV+AREASQKM+MGO+FE2O3+CAO+HYDRLCOND+BFI",0.122709293467702
"51","pi_Deca","pi_Deca~P2O5+CAO+MGO",-0.080211033776983
"52","pi_Dipt","pi_Dipt~PRECIP8110+SAND+KFFACT+SLOPE",-0.0219111765680884
"53","pi_DiptNonIns","pi_DiptNonIns~PRECIP8110+KFFACT+SAND+ELEV+BFI+SLOPE",-0.048626604605271
"54","pi_ECT","pi_ECT~AREASQKM+TMAX8110+ELEV+CLAY+PRECIP8110",-0.0383083534030131
"55","pi_Ephem","pi_Ephem~CLAY+P2O5+PERM+N+MSST_mean08.14",0.112673226710557
"56","pi_EphemNoCae","pi_EphemNoCae~CLAY+P2O5+SAND+PERM+N+MSST_mean08.14",0.0748463496492231
"57","pi_EphemNoCaeBae","pi_EphemNoCaeBae~CLAY+N+HYDRLCOND+MSST_mean08.14+COMPSTRGTH",0.305658488883336
"58","pi_EPT","pi_EPT~PRECIP8110+KFFACT+CLAY+P2O5",0.126090269913057
"59","pi_EPTNoBaeHydro","pi_EPTNoBaeHydro~KFFACT+PERM+MSST_mean08.14",0.208673983160366
"60","pi_EPTNoCheu","pi_EPTNoCheu~PRECIP8110+KFFACT+CLAY+P2O5",0.118174713283485
"61","pi_EPTNoHydro","pi_EPTNoHydro~PRECIP8110+KFFACT+CLAY+P2O5",0.118695458643333
"62","pi_ET","pi_ET~CLAY+PRECIP8110+AREASQKM",0.0474215338572288
"63","pi_Gast","pi_Gast~AREASQKM+ELEV+HYDRLCOND+PRECIP8110",0.179738318025161
"64","pi_Hydro","pi_Hydro~TMAX8110+ELEV+MSST_mean08.14+AREASQKM+MGO",0.258272500292499
"65","pi_Hydro2EPT","pi_Hydro2EPT~TMAX8110+ELEV+AREASQKM+MGO+BFI+SAND",0.335226288760796
"66","pi_Hydro2Trich","pi_Hydro2Trich~TMAX8110+MSST_mean08.14+ELEV+BFI+AREASQKM+NA2O",0.27414029852587
"67","pi_Insect","pi_Insect~AREASQKM+SLOPE+KFFACT+PRECIP8110",0.190239910345263
"68","pi_Isop","pi_Isop~AREASQKM",NA
"69","pi_IsopGastHiru","pi_IsopGastHiru~AREASQKM+ELEV+TMAX8110+HYDRLCOND+INORGNWETDEP_2008",0.169570800582783
"70","pi_Mega","pi_Mega~K2O+SAND+MGO+MWST_mean08.14+PERM",-0.0919088074658911
"71","pi_Mol","pi_Mol~AREASQKM+HYDRLCOND+ELEV+BFI+PRECIP8110",0.186429380071803
"72","pi_Nemata","pi_Nemata~MSST_mean08.14+INORGNWETDEP_2008+BFI+S",-0.0257101634915327
"73","pi_NonIns","pi_NonIns~AREASQKM+KFFACT+SLOPE+CAO+PRECIP8110",0.185248894518903
"74","pi_Odon","pi_Odon~TMAX8110+P2O5",0.456914054206882
"75","pi_OET","pi_OET~CLAY+PRECIP8110+AREASQKM",0.0455862590649607
"76","pi_Oligo","pi_Oligo~CLAY+SLOPE+PERM+MSST_mean08.14",-0.091358156856657
"77","pi_Pleco","pi_Pleco~AREASQKM+KFFACT+MSST_mean08.14",0.18575196575353
"78","pi_POET","pi_POET~PRECIP8110+KFFACT+CLAY",0.0848367554295064
"79","pi_Sphaer","pi_Sphaer~PRECIP8110+FE2O3+N+OM+S",0.0499155844457647
"80","pi_SphaerCorb","pi_SphaerCorb~PRECIP8110+FE2O3+N+OM+BFI+S",0.000463119036798743
"81","pi_Trich","pi_Trich~MSST_mean08.14+TMAX8110+ELEV+BFI",0.073251527013353
"82","pi_TrichNoHydro","pi_TrichNoHydro~MSST_mean08.14+ELEV+BFI",0.0341336832818694
"83","pi_Tromb","pi_Tromb~RCKDEP+MWST_mean08.14+OM",0.150712669410975
"84","pt_Amph","pt_Amph~MGO+ELEV+RCKDEP+HYDRLCOND",0.0077632882263623
"85","pt_Bival","pt_Bival~PRECIP8110+KFFACT+ELEV+NA2O+AREASQKM+SLOPE+TMAX8110",0.243262988348345
"86","pt_COET","pt_COET~AREASQKM+ELEV",0.0678841062731127
"87","pt_Coleo","pt_Coleo~MSST_mean08.14+KFFACT+TMAX8110+AREASQKM+PERM+CLAY+PRECIP8110",0.362930905574895
"88","pt_Deca","pt_Deca~P2O5+CAO+BFI",0.118570195966205
"89","pt_Dipt","pt_Dipt~CLAY+P2O5+ELEV+SIO2+TMAX8110",0.141127492175644
"90","pt_ECT","pt_ECT~AREASQKM+ELEV",0.0744230262552248
"91","pt_Ephem","pt_Ephem~TMAX8110+CLAY+PCTBL2004",0.28430408659272
"92","pt_EPT","pt_EPT~CLAY+KFFACT+TMAX8110+PRECIP8110",0.260062341626808
"93","pt_ET","pt_ET~CLAY+PRECIP8110+BFI",0.20091506399791
"94","pt_Gast","pt_Gast~ELEV+TMAX8110+INORGNWETDEP_2008+BFI",0.168816893062802
"95","pt_Insect","pt_Insect~AREASQKM+KFFACT+PRECIP8110",0.123698383890212
"96","pt_Isop","pt_Isop~AREASQKM",NA
"97","pt_Mega","pt_Mega~SAND+ELEV",-0.00104188125624471
"98","pt_NonIns","pt_NonIns~AREASQKM+KFFACT+PRECIP8110",0.12594996879194
"99","pt_Odon","pt_Odon~TMAX8110+MWST_mean08.14",0.0857429034906463
"100","pt_OET","pt_OET~CLAY+PRECIP8110+BFI",0.188485704750362
"101","pt_Oligo","pt_Oligo~CLAY+MSST_mean08.14+PCTBL2004",0.0946954653132532
"102","pt_Pleco","pt_Pleco~KFFACT+MSST_mean08.14+OM+COMPSTRGTH",0.167511938216951
"103","pt_POET","pt_POET~CLAY+KFFACT+PRECIP8110+TMAX8110",0.240359788551647
"104","pt_Trich","pt_Trich~ELEV+PRECIP8110+TMAX8110+BFI+SAND+AREASQKM+OM+SLOPE",0.0615778167607549
"105","pt_TrichNoHydro","pt_TrichNoHydro~ELEV+PRECIP8110+PERM+OM+TMAX8110+BFI+HYDRLCOND+SLOPE",-0.0110293976113056
"106","pt_Tromb","pt_Tromb~RCKDEP+OM+KFFACT+AREASQKM+MSST_mean08.14+BFI",0.200839684895273
"107","nt_Chiro","nt_Chiro~CLAY+P2O5+BFI+TMAX8110+OM+AREASQKM",0.20947533364964
"108","pi_Chiro","pi_Chiro~PRECIP8110+INORGNWETDEP_2008+BFI",-0.121161569269858
"109","pt_Chiro","pt_Chiro~P2O5+CLAY+BFI+RCKDEP+OM",0.244359552526885
"110","pi_Ortho","pi_Ortho~ELEV+P2O5+PRECIP8110+CAO",-0.100891664972528
"111","pi_Tanyt","pi_Tanyt~TMAX8110+OM",0.012209343026835
"112","pi_Tanyp","pi_Tanyp~BFI+MSST_mean08.14+S+MGO",0.046694120550217
"113","pi_COC2Chi","pi_COC2Chi~RCKDEP+MSST_mean08.14+OM+BFI",-0.0326276609625484
"114","pi_ChCr2Chi","pi_ChCr2Chi~RCKDEP+OM+MSST_mean08.14+SAND",-0.062349475633811
"115","pi_Orth2Chi","pi_Orth2Chi~ELEV+RCKDEP+TMAX8110+MSST_mean08.14+S",0.0155685801184309
"116","pi_Tanyp2Chi","pi_Tanyp2Chi~MGO+SIO2+NA2O+TMAX8110+OM",0.0439997297877059
"117","pi_ChiroAnne","pi_ChiroAnne~PRECIP8110+INORGNWETDEP_2008+P2O5+MSST_mean08.14",-0.0512636313925425
"118","pi_SimBtri","pi_SimBtri~ELEV+MSST_mean08.14+TMAX8110",-0.00859596114687355
"119","pi_Colesens","pi_Colesens~KFFACT+PRECIP8110+MSST_mean08.14+TMAX8110+INORGNWETDEP_2008",0.184751668905577
"120","nt_ti_stenocold","nt_ti_stenocold~MSST_mean08.14+TMAX8110+BFI+MWST_mean08.14",0.465558961894702
"121","nt_ti_cold","nt_ti_cold~AREASQKM+MSST_mean08.14+PERM",0.175115875789532
"122","nt_ti_cool","nt_ti_cool~ELEV+AREASQKM+MWST_mean08.14+SIO2+PCTBL2004+HYDRLCOND+SLOPE+OM",0.249398492333505
"123","nt_ti_warm","nt_ti_warm~TMAX8110+MSST_mean08.14+P2O5",0.418655211493637
"124","nt_ti_stenowarm","nt_ti_stenowarm~KFFACT+MWST_mean08.14+TMAX8110",0.128105537725359
"125","nt_ti_eury","nt_ti_eury~AREASQKM+CLAY+OM+BFI+K2O",0.248860108833749
"126","nt_ti_cowa","nt_ti_cowa~TMAX8110+MWST_mean08.14+BFI+MSST_mean08.14+CLAY+NA2O+S+SLOPE",0.517778256017715
"127","nt_ti_stenocold_cold","nt_ti_stenocold_cold~MSST_mean08.14+AREASQKM+SLOPE+KFFACT+TMAX8110",0.347762392894019
"128","nt_ti_stenocold_cold_cool","nt_ti_stenocold_cold_cool~AREASQKM+SLOPE+PERM+HYDRLCOND",0.221536334519912
"129","nt_ti_cowa_warm_stenowarm","nt_ti_cowa_warm_stenowarm~TMAX8110+MSST_mean08.14+BFI+P2O5+NA2O+N+AREASQKM",0.565751536250046
"130","nt_ti_warm_stenowarm","nt_ti_warm_stenowarm~TMAX8110+MSST_mean08.14+P2O5",0.425881496567691
"131","pi_ti_stenocold","pi_ti_stenocold~MSST_mean08.14+PCTBL2004+TMAX8110+PCTICE_mean01.19+BFI+COMPSTRGTH",0.27705803898065
"132","pi_ti_cold","pi_ti_cold~CLAY+MSST_mean08.14+SLOPE+AREASQKM+FE2O3",0.235248660401787
"133","pi_ti_cool","pi_ti_cool~AREASQKM+INORGNWETDEP_2008+SLOPE+MWST_mean08.14+ELEV+HYDRLCOND",0.124416425909782
"134","pi_ti_warm","pi_ti_warm~TMAX8110+MSST_mean08.14+P2O5+K2O+MGO",0.307587231125922
"135","pi_ti_stenowarm","pi_ti_stenowarm~MGO+P2O5+SIO2",0.546650066454321
"136","pi_ti_eury","pi_ti_eury~ELEV+BFI+MSST_mean08.14+OM+RCKDEP",0.0978410649567109
"137","pi_ti_cowa","pi_ti_cowa~TMAX8110+MWST_mean08.14+BFI+PRECIP8110+ELEV+MSST_mean08.14+NA2O",0.410755799836991
"138","pi_ti_stenocold_cold","pi_ti_stenocold_cold~MSST_mean08.14+CLAY+KFFACT+S+AREASQKM+SLOPE",0.355814901250965
"139","pi_ti_stenocold_cold_cool","pi_ti_stenocold_cold_cool~MSST_mean08.14+AREASQKM+PERM+INORGNWETDEP_2008",0.265112129032724
"140","pi_ti_cowa_warm_stenowarm","pi_ti_cowa_warm_stenowarm~TMAX8110+MSST_mean08.14+BFI",0.430109569054955
"141","pi_ti_warm_stenowarm","pi_ti_warm_stenowarm~TMAX8110+MSST_mean08.14+P2O5+K2O",0.307694061668472
"142","pt_ti_stenocold","pt_ti_stenocold~MSST_mean08.14+TMAX8110+KFFACT+BFI+PCTBL2004+MWST_mean08.14+AREASQKM+PCTICE_mean01.19",0.550606586658807
"143","pt_ti_cold","pt_ti_cold~MSST_mean08.14+KFFACT+AREASQKM+SLOPE+TMAX8110",0.255648863948241
"144","pt_ti_cool","pt_ti_cool~SIO2+HYDRLCOND+ELEV",0.0265455482177742
"145","pt_ti_warm","pt_ti_warm~TMAX8110+MSST_mean08.14+P2O5+MWST_mean08.14+CLAY+AREASQKM",0.433306950462138
"146","pt_ti_stenowarm","pt_ti_stenowarm~KFFACT+PERM+TMAX8110",0.0333394115307069
"147","pt_ti_eury","pt_ti_eury~BFI+AREASQKM+OM",0.227330277187163
"148","pt_ti_cowa","pt_ti_cowa~TMAX8110+MWST_mean08.14+MSST_mean08.14+BFI+SLOPE+KFFACT+AREASQKM",0.463769349628816
"149","pt_ti_stenocold_cold","pt_ti_stenocold_cold~MSST_mean08.14+TMAX8110+KFFACT+AREASQKM+SLOPE",0.467870401939525
"150","pt_ti_stenocold_cold_cool","pt_ti_stenocold_cold_cool~MSST_mean08.14+TMAX8110+KFFACT+AREASQKM+SLOPE+PERM",0.337849867464258
"151","pt_ti_cowa_warm_stenowarm","pt_ti_cowa_warm_stenowarm~TMAX8110+MSST_mean08.14+MWST_mean08.14+BFI+AREASQKM+KFFACT+P2O5+SLOPE",0.563747255371471
"152","pt_ti_warm_stenowarm","pt_ti_warm_stenowarm~TMAX8110+MSST_mean08.14+KFFACT+P2O5+CLAY+AREASQKM",0.44766519149343
"153","nt_tv_intol","nt_tv_intol~OM+ELEV+PERM+AREASQKM+TMAX8110+HYDRLCOND",0.19361881762155
"154","nt_tv_intol4","nt_tv_intol4~OM+ELEV+PERM+AREASQKM+HYDRLCOND",0.200870368535366
"155","nt_tv_toler","nt_tv_toler~KFFACT+OM+AREASQKM+BFI+MSST_mean08.14",0.196588842879897
"156","pi_tv_intol","pi_tv_intol~MSST_mean08.14+PERM",0.213118102813715
"157","pi_tv_intol4","pi_tv_intol4~MSST_mean08.14+PERM",0.21781866748559
"158","pi_tv_toler","pi_tv_toler~PRECIP8110+SAND+BFI+KFFACT+INORGNWETDEP_2008",0.116001582212882
"159","pi_tv_toler6","pi_tv_toler6~PRECIP8110+SAND+BFI+NA2O+KFFACT",0.112025727991463
"160","pt_tv_intol","pt_tv_intol~KFFACT+OM+CLAY+TMAX8110",0.341503357941387
"161","pt_tv_intol4","pt_tv_intol4~KFFACT+OM+CLAY+TMAX8110",0.336239796235818
"162","pt_tv_toler","pt_tv_toler~KFFACT+OM+PRECIP8110+K2O+SLOPE",0.200323633447593
"163","nt_tv_intol4_EPT","nt_tv_intol4_EPT~PERM+OM+SAND+KFFACT+ELEV+MSST_mean08.14",0.153674570378898
"164","nt_tv_ntol","nt_tv_ntol~MWST_mean08.14+TMAX8110+ELEV",0.221657271540468
"165","nt_tv_stol","nt_tv_stol~OM+PRECIP8110+AREASQKM",0.13837774828383
"166","pi_tv_ntol","pi_tv_ntol~INORGNWETDEP_2008+KFFACT+PRECIP8110+SLOPE",0.0501962210079756
"167","pi_tv_stol","pi_tv_stol~ELEV+COMPSTRGTH+SAND+BFI",0.109837613831433
"168","pt_tv_ntol","pt_tv_ntol~OM+KFFACT+RCKDEP+AREASQKM+MWST_mean08.14+SAND",0.189602195755612
"169","pt_tv_stol","pt_tv_stol~ELEV+OM+PRECIP8110+RCKDEP+NA2O+AREASQKM",0.161146514463075
"170","pi_tv2_intol","pi_tv2_intol~PERM+SAND+INORGNWETDEP_2008+MSST_mean08.14+MWST_mean08.14+COMPSTRGTH",0.140501525561202
"171","nt_ffg_col","nt_ffg_col~P2O5+TMAX8110+OM+MSST_mean08.14+BFI",0.144122502586971
"172","nt_ffg_filt","nt_ffg_filt~TMAX8110+CLAY+ELEV",0.22446928729587
"173","nt_ffg_pred","nt_ffg_pred~AREASQKM+MWST_mean08.14+ELEV+OM+PRECIP8110",0.117338097014297
"174","nt_ffg_scrap","nt_ffg_scrap~SAND+PERM+ELEV+CLAY+KFFACT+CAO+TMAX8110+FE2O3",0.055247939991322
"175","nt_ffg_shred","nt_ffg_shred~AREASQKM+SLOPE+MWST_mean08.14+PRECIP8110",0.246028652923634
"176","nt_ffg_mah","nt_ffg_mah~RCKDEP+MWST_mean08.14+OM+ELEV",0.0856732440892733
"177","nt_ffg_omn","nt_ffg_omn~TMAX8110+ELEV+MSST_mean08.14+MWST_mean08.14+BFI",0.184109227983983
"178","nt_ffg_par","nt_ffg_par~INORGNWETDEP_2008+MWST_mean08.14+TMAX8110",-0.0292235668919036
"179","nt_ffg_pih","nt_ffg_pih~TMAX8110+MGO+SIO2+HYDRLCOND",0.22155671746911
"180","nt_ffg_xyl","nt_ffg_xyl~PRECIP8110+INORGNWETDEP_2008+OM+HYDRLCOND+MWST_mean08.14",0.0970952227181443
"181","nt_ffg_pred_scrap_shred","nt_ffg_pred_scrap_shred~AREASQKM+MWST_mean08.14+ELEV+PERM",0.138360257392318
"182","pi_ffg_col","pi_ffg_col~COMPSTRGTH+TMAX8110+OM+P2O5+AREASQKM",0.034000014234156
"183","pi_ffg_filt","pi_ffg_filt~MSST_mean08.14+TMAX8110+PERM+SAND",0.0723639456644319
"184","pi_ffg_pred","pi_ffg_pred~AREASQKM+ELEV+P2O5",0.00719022742507258
"185","pi_ffg_scrap","pi_ffg_scrap~HYDRLCOND+SIO2+RCKDEP",-0.0846760466250971
"186","pi_ffg_shred","pi_ffg_shred~KFFACT+CLAY+AREASQKM+BFI",0.186608307336412
"187","pi_ffg_mah","pi_ffg_mah~RCKDEP+OM+SAND",-0.0793570652329949
"188","pi_ffg_omn","pi_ffg_omn~MSST_mean08.14+AREASQKM+ELEV+CAO+HYDRLCOND",0.120327438069394
"189","pi_ffg_par","pi_ffg_par~MSST_mean08.14+INORGNWETDEP_2008+BFI+S",-0.0243304886513354
"190","pi_ffg_pih","pi_ffg_pih~MSST_mean08.14+MGO+TMAX8110",0.050271715134845
"191","pi_ffg_xyl","pi_ffg_xyl~INORGNWETDEP_2008+PRECIP8110+PERM+K2O+P2O5",0.068003084290248
"192","pi_ffg_col_filt","pi_ffg_col_filt~AREASQKM+COMPSTRGTH+PERM",0.0759792346460563
"193","pt_ffg_col","pt_ffg_col~KFFACT+P2O5+MSST_mean08.14+OM",0.122150455700452
"194","pt_ffg_filt","pt_ffg_filt~TMAX8110+CLAY+SLOPE+ELEV",0.184705594043212
"195","pt_ffg_pred","pt_ffg_pred~TMAX8110+MSST_mean08.14+CLAY+PERM+MWST_mean08.14",-2.47695986963503e-05
"196","pt_ffg_scrap","pt_ffg_scrap~CLAY+BFI+ELEV",0.134319913639619
"197","pt_ffg_shred","pt_ffg_shred~AREASQKM+KFFACT+SLOPE+MSST_mean08.14+CLAY+PRECIP8110+BFI",0.132093379306104
"198","pt_ffg_mah","pt_ffg_mah~RCKDEP+ELEV+MSST_mean08.14+MWST_mean08.14",0.127888576260733
"199","pt_ffg_omn","pt_ffg_omn~TMAX8110+ELEV+MSST_mean08.14+MWST_mean08.14+BFI",0.12144177210514
"200","pt_ffg_par","pt_ffg_par~MWST_mean08.14+BFI+P2O5+INORGNWETDEP_2008",-0.0223674491836119
"201","pt_ffg_pih","pt_ffg_pih~TMAX8110+HYDRLCOND",0.224737686168341
"202","pt_ffg_xyl","pt_ffg_xyl~PRECIP8110+INORGNWETDEP_2008+OM+HYDRLCOND",0.0890769902023665
"203","nt_habit_burrow","nt_habit_burrow~MWST_mean08.14+ELEV+SIO2+TMAX8110",0.054408889397885
"204","nt_habit_climbcling","nt_habit_climbcling~ELEV+TMAX8110+OM",0.129413259430108
"205","nt_habit_cling","nt_habit_cling~ELEV+TMAX8110+OM",0.127301313134083
"206","nt_habit_sprawl","nt_habit_sprawl~AREASQKM+BFI+P2O5+K2O+ELEV",0.153918285971755
"207","nt_habit_swim","nt_habit_swim~TMAX8110+MWST_mean08.14+OM+ELEV+BFI+RCKDEP",0.0944865458790284
"208","pi_habit_burrow","pi_habit_burrow~MWST_mean08.14+OM",0.101117965368491
"209","pi_habit_climbcling","pi_habit_climbcling~OM+MSST_mean08.14+PRECIP8110+SLOPE",0.125574966989369
"210","pi_habit_cling","pi_habit_cling~OM+MSST_mean08.14+PRECIP8110+SLOPE",0.124459337022486
"211","pi_habit_cling_PlecoNoCling","pi_habit_cling_PlecoNoCling~OM+MSST_mean08.14+PRECIP8110+SLOPE+PCTBL2004",0.128804634101865
"212","pi_habit_sprawl","pi_habit_sprawl~PRECIP8110+P2O5+MWST_mean08.14",-0.074569164001097
"213","pi_habit_swim","pi_habit_swim~INORGNWETDEP_2008+TMAX8110+ELEV+MGO",-0.0195268686872434
"214","pt_habit_burrow","pt_habit_burrow~MWST_mean08.14+SIO2+BFI+TMAX8110+SLOPE",0.0866511728349121
"215","pt_habit_climbcling","pt_habit_climbcling~AREASQKM+ELEV+MWST_mean08.14+CLAY+OM",0.153263974598887
"216","pt_habit_cling","pt_habit_cling~AREASQKM+ELEV+MWST_mean08.14+OM",0.167160736839385
"217","pt_habit_sprawl","pt_habit_sprawl~AREASQKM+P2O5+ELEV",0.134488812036507
"218","pt_habit_swim","pt_habit_swim~OM+MWST_mean08.14+PERM+AREASQKM",-0.0442120944709175
"219","nt_volt_multi","nt_volt_multi~TMAX8110+CLAY+BFI+OM",0.290677167275205
"220","nt_volt_semi","nt_volt_semi~ELEV+TMAX8110+PCTBL2004+SLOPE+MWST_mean08.14",0.142837447355586
"221","nt_volt_uni","nt_volt_uni~OM+PERM+CLAY+ELEV+KFFACT",0.134698830244051
"222","pi_volt_multi","pi_volt_multi~AREASQKM+PERM+MSST_mean08.14+FE2O3",0.0831333282101921
"223","pi_volt_semi","pi_volt_semi~SLOPE+AREASQKM+KFFACT+PRECIP8110+COMPSTRGTH+SAND+INORGNWETDEP_2008",0.0992898489976834
"224","pi_volt_uni","pi_volt_uni~MWST_mean08.14+MSST_mean08.14+P2O5+COMPSTRGTH",0.0514698118861485
"225","pt_volt_multi","pt_volt_multi~CLAY+TMAX8110+BFI+OM+K2O",0.322703587085652
"226","pt_volt_semi","pt_volt_semi~OM+MGO+ELEV+BFI",0.0465744987265053
"227","pt_volt_uni","pt_volt_uni~KFFACT+CLAY+TMAX8110+MWST_mean08.14+NA2O",0.255288232221979
"228","pi_dom01","pi_dom01~KFFACT+NA2O+MSST_mean08.14",-0.0188883464215268
"229","pi_dom02","pi_dom02~KFFACT+NA2O+COMPSTRGTH+MSST_mean08.14",0.0239589327028916
"230","pi_dom03","pi_dom03~KFFACT+NA2O+PCTBL2004+COMPSTRGTH+S",0.0175702152305727
"231","pi_dom04","pi_dom04~KFFACT+NA2O+PCTBL2004+ELEV+CAO",0.0247868895744002
"232","pi_dom05","pi_dom05~NA2O+PCTBL2004+KFFACT",0.0293298934097336
"233","x_Becks","x_Becks~AREASQKM+SLOPE+ELEV+PERM+OM+HYDRLCOND+N+NA2O",0.173576625936028
"234","x_Becks3","x_Becks3~PERM+SLOPE+AREASQKM+OM",0.117231919458481
"235","x_HBI","x_HBI~MSST_mean08.14+BFI+PERM",0.129719897040136
"236","x_HBI2","x_HBI2~INORGNWETDEP_2008+COMPSTRGTH+SAND",0.0579653147641083
"237","x_Shan_e","x_Shan_e~TMAX8110+ELEV+KFFACT+PCTBL2004+NA2O",0.0294416937580613
"238","x_Shan_2","x_Shan_2~TMAX8110+ELEV+KFFACT+PCTBL2004",0.00735267412881146
"239","x_Shan_10","x_Shan_10~TMAX8110+ELEV+PCTBL2004+KFFACT",0.0150727644256312
"240","x_D","x_D~ELEV+TMAX8110+KFFACT+MSST_mean08.14",-0.0502981443174366
"241","x_D_G","x_D_G~TMAX8110+AREASQKM+MWST_mean08.14+PCTBL2004+ELEV+OM",0.277290254391614
"242","x_D_Mg","x_D_Mg~TMAX8110+AREASQKM+MWST_mean08.14+PCTBL2004+BFI+OM",0.273299778829195
"243","x_Evenness","x_Evenness~KFFACT+MSST_mean08.14+COMPSTRGTH",0.039090410952346
