"","SAMPLEID","ReferenceSite","pt_tv_intol_resid","nt_habitat_rheo_resid","pt_ti_stenocold_cold_cool_resid","pi_EPTNoHydro_resid","MMI.2024"
"34","130065","REFERENCE",1,0.756756378846683,0.944355241874499,0.912866825657082,0.903494611594566
"35","130067","REFERENCE",0.89288701284899,0.667338788427982,0.903310350049838,1,0.865884037831703
"36","130119","REFERENCE",0.89972468913638,0.731670345250271,0.81453854213435,0.79460127724837,0.810133713442343
"37","130124","REFERENCE",0.921653531805747,0.781016886562497,1,0.941047539827896,0.910929489549035
"38","131083","REFERENCE",1,0.644161327029411,0.915909386427034,1,0.890017678364111
"39","13200-ORDEQ:19980713:R:SR","REFERENCE",1,0.518039092967971,0.514468170583598,1,0.758126815887892
"40","13215-ORDEQ:19980715:R:SR","REFERENCE",0.859840834838173,0.899190214382196,0.968922931322154,0.705463208696032,0.858354297309639
"41","13224-ORDEQ:19980715:R:SR","REFERENCE",0.913635644997547,0.684147004272007,0.730530933594535,1,0.832078395716022
"42","13226-ORDEQ:19980708:R:SR","REFERENCE",0.980266621880318,0.623934215647201,0.532153011616351,0.969501355811664,0.776463801238883
"43","13231-ORDEQ:19990805:R:SR","REFERENCE",0.780676130225057,0.861898349326153,0.837428974215159,0.590373955088386,0.767594352213689
"44","13244-ORDEQ:19990909:R:SR","REFERENCE",0.728329684328872,0.843899171247839,0.822263431194224,0.864367061413707,0.81471483704616
"45","134605","REFERENCE",0.797270012153339,0.665581936009528,0.895045242504811,0,0.58947429766692
"46","134734","REFERENCE",0.85598917058226,0.668238099707317,0.778388103916347,0.791342532267358,0.77348947661832
"47","140016","REFERENCE",0.991669488922783,0.922173205266903,0.6679869478975,0.727396835637039,0.827306619431056
"48","143095","REFERENCE",0.761336438013335,0.808724498510047,0.320822528456168,0.968259387956402,0.714785713233988
"49","148021","REFERENCE",0.754180338607725,0.565594414290085,0.705328821699142,0.968133395037479,0.748309242408608
"50","149814","REFERENCE",0.79081215538302,0.539607878427063,0.845972461804406,0.841212216970282,0.754401178146193
"51","149822","REFERENCE",0.850178553346405,0.268201062981156,0.701114851239298,0.543042103691591,0.590634142814612
