,sample,mean_MMI,sd_MMI,var_MMI,mean_MMI_rescale,sd_MMI_rescale
121,30629-ORDEQ:20030918:R:SR,0.743404548,0.034875814,0.001216322,1.018362395,0.047775088
122,30727-ORDEQ:20030820:R:SR,0.752520702,0.020481059,0.000419474,1.030850276,0.028056245
123,31354-ORDEQ:20040707:R:SR,0.764648817,0.022043516,0.000485917,1.047464132,0.030196597
124,31387-ORDEQ:20040708:R:SR,0.67693144,0.033444305,0.001118522,0.927303342,0.045814116
125,31467-ORDEQ:20070918:R:SR,0.612840576,0.034501776,0.001190373,0.839507638,0.047262706
126,31477-ORDEQ:20040715:R:SR,0.788453668,0.035126383,0.001233863,1.080073518,0.048118333
127,31480-ORDEQ:20040804:R:SR,0.761176735,0.04257035,0.001812235,1.042707856,0.058315548
128,31485-ORDEQ:20040802:R:SR,0.743434192,0.032888113,0.001081628,1.018403003,0.04505221
129,31730-ORDEQ:20040901:R:SR,0.702004723,0.024306403,0.000590801,0.961650305,0.033296442
130,31803-ORDEQ:20040929:R:SR,0.633731188,0.021419696,0.000458803,0.868124915,0.029342049
131,32149-ORDEQ:20050803:R:SR,0.722810414,0.024593072,0.000604819,0.990151252,0.033689139
132,32481-ORDEQ:20050713:R:SR,0.777081734,0.030010756,0.000900645,1.064495525,0.041110624
133,32485-ORDEQ:20050713:R:SR,0.691603551,0.029104205,0.000847055,0.947402124,0.039868774
134,32486-ORDEQ:20050713:R:SR,0.709640011,0.030304314,0.000918351,0.972109604,0.041512759
135,32487-ORDEQ:20050713:R:SR,0.749354931,0.031605988,0.000998938,1.026513604,0.043295874
136,32488-ORDEQ:20050728:R:SR,0.657035812,0.022024679,0.000485087,0.900049058,0.030170794
137,32489-ORDEQ:20050728:R:SR,0.707879216,0.016111523,0.000259581,0.969697556,0.02207058
138,32490-ORDEQ:20050729:R:SR,0.638664229,0.031402068,0.00098609,0.874882505,0.043016532
139,32556-ORDEQ:20050803:R:SR,0.68257997,0.033510494,0.001122953,0.935041055,0.045904786
140,32576-ORDEQ:20050907:R:SR,0.67260212,0.028789095,0.000828812,0.921372767,0.039437116
141,32577-ORDEQ:20050907:R:SR,0.666872564,0.04097919,0.001679294,0.91352406,0.056135877
142,32585-ORDEQ:20050915:R:SR,0.6949226,0.027697297,0.00076714,0.951948767,0.037941503
143,33336-ORDEQ:20060818:R:SR,0.733452727,0.029656978,0.000879536,1.004729762,0.040625997
144,33342-ORDEQ:20060906:R:SR,0.723319039,0.020271174,0.00041092,0.990847998,0.027768731
145,33419-ORDEQ:20060919:R:SR,0.74907585,0.034697021,0.001203883,1.026131301,0.047530166
146,34468-ORDEQ:20070924:R:SR,0.773913078,0.027505094,0.00075653,1.060154902,0.037678211
147,34470-ORDEQ:20070731:R:SR,0.781773367,0.031245902,0.000976306,1.07092242,0.042802605
148,34471-ORDEQ:20070905:R:SR,NA,NA,NA,NA,NA
149,34477-ORDEQ:20070821:R:SR,0.798074512,0.02189529,0.000479404,1.093252756,0.029993548
150,34614-ORDEQ:20070827:R:SR,0.708370155,0.026624631,0.000708871,0.970370075,0.036472097
151,34636-ORDEQ:20070816:R:SR,0.654445671,0.029781434,0.000886934,0.89650092,0.040796485
152,34643-ORDEQ:20070918:R:SR,0.67834674,0.027224069,0.00074115,0.92924211,0.037293246
153,34661-ORDEQ:20070912:R:SR,0.710947795,0.026135595,0.000683069,0.973901089,0.035802185
154,35619-ORDEQ:20000703:R:SR,0.675330644,0.034778577,0.001209549,0.925110471,0.047641886
155,35622-ORDEQ:20000706:R:SR,0.671602674,0.030877684,0.000953431,0.920003664,0.042298197
156,35624-ORDEQ:20000723:R:SR,0.714330423,0.027527675,0.000757773,0.978534826,0.037709143
157,35626-ORDEQ:20000728:R:SR,0.748446616,0.021919978,0.000480485,1.025269337,0.030027367
158,35627-ORDEQ:20000729:R:SR,0.693111918,0.032588613,0.001062018,0.94946838,0.044641935
159,35629-ORDEQ:20000802:R:SR,0.815414945,0.022458256,0.000504373,1.117006774,0.030764734
160,35634-ORDEQ:20000813:R:SR,0.750612135,0.028080511,0.000788515,1.028235802,0.038466454
161,35694-ORDEQ:20150818:R:SR,0.70549026,0.028988404,0.000840328,0.966425014,0.039710143
162,35696-ORDEQ:19980727:R:SR-1,0.761640659,0.018623814,0.000346846,1.043343368,0.025512074
163,35702-ORDEQ:19980729:R:SR-3,0.706824578,0.024290971,0.000590051,0.968252846,0.033275303
164,35704-ORDEQ:19980728:R:SR-1,0.743228816,0.02629961,0.000691669,1.018121666,0.036026862
165,35708-ORDEQ:19980807:R:SR-2,0.721947481,0.019747598,0.000389968,0.988969152,0.027051504
166,35709-ORDEQ:19980807:R:SR-3,0.74167243,0.042427768,0.001800115,1.01598963,0.05812023
167,35711-ORDEQ:19980808:R:SR-2,0.727781221,0.023563184,0.000555224,0.996960577,0.032278335
168,35713-ORDEQ:19980809:R:SR,0.725216208,0.026096858,0.000681046,0.993446861,0.035749121
169,35714-ORDEQ:19980811:R:SR-1,0.793516343,0.01622779,0.000263341,1.087008689,0.022229849
170,35715-ORDEQ:19980728:R:SR-1,0.730872742,0.019412299,0.000376837,1.001195537,0.02659219
171,35716-ORDEQ:19980811:R:SR-1,0.745549949,0.011617748,0.000134972,1.0213013,0.015914724
172,35717-ORDEQ:19980811:R:SR-1,0.73493751,0.029445447,0.000867034,1.006763712,0.040336229
173,35721-ORDEQ:19980729:R:SR-3,0.736941239,0.030725657,0.000944066,1.009508546,0.042089941
174,35722-ORDEQ:19980729:R:SR-3,0.693919661,0.025012163,0.000625608,0.950574878,0.034263237
175,35733-ORDEQ:19980809:R:SR-1,0.661641833,0.033874051,0.001147451,0.906358675,0.046402809
176,35734-ORDEQ:19980808:R:SR-2,0.702914162,0.025157253,0.000632887,0.962896112,0.03446199
177,35748-ORDEQ:19990704:R:SR,0.776798636,0.029678239,0.000880798,1.06410772,0.040655121
178,35749-ORDEQ:19990703:R:SR,0.680433985,0.014738706,0.000217229,0.932101349,0.020190008
179,35758-ORDEQ:19990808:R:SR,0.684217787,0.019800293,0.000392052,0.93728464,0.027123689
180,35763-ORDEQ:19990805:R:SR,0.73025581,0.032023821,0.001025525,1.000350425,0.043868247
181,35767-ORDEQ:19990817:R:SR,0.680329323,0.019196958,0.000368523,0.931957977,0.026297203
182,35769-ORDEQ:19990816:R:SR,0.651609849,0.025140048,0.000632022,0.892616232,0.034438421
183,35770-ORDEQ:19990819:R:SR,0.627044661,0.031889328,0.001016929,0.858965289,0.043684011
184,35772-ORDEQ:19990817:R:SR,0.652016883,0.034610922,0.001197916,0.893173812,0.047412222
185,35773-ORDEQ:19990818:R:SR,0.748696638,0.017318626,0.000299935,1.025611833,0.023724145
186,35791-ORDEQ:19990809:R:SR,0.69467276,0.019153351,0.000366851,0.95160652,0.026237468
187,35792-ORDEQ:19990811:R:SR,0.689977223,0.014563453,0.000212094,0.945174278,0.019949935
188,35794-ORDEQ:20150819:R:SR,0.71206955,0.025417508,0.00064605,0.97543774,0.034818505
189,35830-ORDEQ:20000720:R:SR,0.692668052,0.036818127,0.001355574,0.948860346,0.05043579
190,35847-ORDEQ:20020613:R:SR,0.691660306,0.029557903,0.00087367,0.947479871,0.040490279
191,35853-ORDEQ:20010613:R:SR,0.663098925,0.030965267,0.000958848,0.908354692,0.042418175
192,35883-ORDEQ:20020816:R:SR,0.698095676,0.026375166,0.000695649,0.956295446,0.036130364
193,35939-ORDEQ:20090812:T:SR,0.816976165,0.043761883,0.001915102,1.119145431,0.059947785
194,35940-ORDEQ:20090813:T:SR,0.754197772,0.034143734,0.001165795,1.033147633,0.046772238
195,35952-ORDEQ:20090818:R:SR,0.715927472,0.029864545,0.000891891,0.980722564,0.040910335
196,35953-ORDEQ:20090818:R:SR,0.772225206,0.026523941,0.000703519,1.057842748,0.036334166
197,37278-ORDEQ:20140915:R:SR,0.781290351,0.035409493,0.001253832,1.070260754,0.048506155
198,38114-ORDEQ:20150630:R:SR,0.815754327,0.017914238,0.00032092,1.117471681,0.024540052
199,38116-ORDEQ:20150706:R:SR,0.735721409,0.02759857,0.000761681,1.007837547,0.03780626
200,38117-ORDEQ:20150820:R:SR,0.757372159,0.025124992,0.000631265,1.037496108,0.034417798
201,38119-ORDEQ:20150819:R:SR,0.762369778,0.027581337,0.00076073,1.044342162,0.037782653
202,38120-ORDEQ:20150707:R:SR,0.667651424,0.025227753,0.00063644,0.914590991,0.034558566
203,38128-ORDEQ:20150929:R:SR,0.633609856,0.027984989,0.00078316,0.867958707,0.038335601
204,38130-ORDEQ:20151005:R:SR,0.728563254,0.032038285,0.001026452,0.998031855,0.043888062
205,38131-ORDEQ:20151006:R:SR,0.787361596,0.024773818,0.000613742,1.078577529,0.033936737
206,38503-ORDEQ:20150729:R:SR,0.742482057,0.037812013,0.001429748,1.017098708,0.051797278
207,38552-ORDEQ:20160802:R:SR,0.671391989,0.03097178,0.000959251,0.919715053,0.042427097
208,38558-ORDEQ:20160720:R:SR,0.632609113,0.026579822,0.000706487,0.866587825,0.036410715
209,38583-ORDEQ:20160818:R:SR,0.712196559,0.014557846,0.000211931,0.975611725,0.019942254
210,38606-ORDEQ:20160927:R:SR,0.649852722,0.030237843,0.000914327,0.890209208,0.041421703
211,505BMCMCR:20100804:T:QCFR,0.718813837,0.029619301,0.000877303,0.984676489,0.040574385
212,505PS0110:20100803:T:SR,0.670487287,0.02951219,0.000870969,0.918475736,0.040427658
213,526CE0061:20040803:R:SR,0.750461159,0.031949788,0.001020789,1.028028985,0.043766833
214,526PNCAMF:20130625:T:SR,0.655494486,0.034068062,0.001160633,0.897937652,0.046668578
215,526PS0076:20080826:T:SR,0.678241979,0.034060254,0.001160101,0.929098602,0.046657882
216,526PS1612:20150804:T:SR,0.633900008,0.04266726,0.001820495,0.868356175,0.058448301
217,PIBO:0904:20000820:R:SR,0.656090599,0.037251416,0.001387668,0.898754246,0.051029336
218,PIBO_1432:20100804:R:SR,0.722822404,0.032351248,0.001046603,0.990167677,0.044316778
219,dfw_2150:20090922:R:SR,0.62227036,0.029395421,0.000864091,0.852425151,0.040267699
220,dfw_8008:20090818:R:SR,0.790456896,0.022707761,0.000515642,1.082817665,0.031106522
