"","sample","mean_OE","sd_OE","var_OE"
"99","26929-ORDEQ:20020711:R:SR",0.987228388861024,0.0515371934664011,0.00265608231039325
"100","26936-ORDEQ:20030730:R:SR",0.847538440974666,0.102351647430881,0.0104758597318154
"101","26950-ORDEQ:20020731:R:SR",0.914706552547052,0.0693337637613455,0.00480717079731407
"102","26952-ORDEQ:20020905:R:SR",0.800185991405602,0.054929724882767,0.00301727467569647
"103","26958-ORDEQ:20020910:R:SR",0.795788017575379,0.0680384399067582,0.00462922930494555
"104","26966-ORDEQ:20020913:R:SR",NA,NA,NA
"105","29027-ORDEQ:20020808:R:SR",0.929006678761635,0.0606859560463311,0.00368278526125723
"106","29879-ORDEQ:20030826:R:SR",0.819473443069865,0.0965020997941889,0.0093126552646876
"107","29900-ORDEQ:20030806:R:SR",0.873959096520873,0.0885397380352664,0.00783928521135361
"108","30339-ORDEQ:20030924:R:SR",0.998432327729709,0.0676272965649615,0.00457345124068526
"109","30354-ORDEQ:20030827:R:SR",0.973982681695499,0.0866120706183474,0.0075016507767976
"110","30379-ORDEQ:20030723:R:SR",0.931223499639036,0.100898878180325,0.010180583618048
"111","30383-ORDEQ:20030724:R:SR",0.903731957320562,0.0822914288970146,0.00677187926991242
"112","30387-ORDEQ:20030722:R:SR",1.14477051788763,0.0855205153679284,0.00731375854879607
"113","30389-ORDEQ:20030728:R:SR",0.960209897178506,0.0714280779116302,0.00510197031414992
"114","30392-ORDEQ:20030730:R:SR",0.853618480178209,0.0767131706105226,0.00588491054511914
"115","30396-ORDEQ:20030827:R:SR",1.17243677511344,0.0654024680253635,0.00427748282380869
"116","30421-ORDEQ:20030730:R:SR",1.13602297694358,0.0946177253344775,0.00895251394747062
"117","30621-ORDEQ:20030924:R:SR",0.948304444895159,0.0772335322489742,0.00596501850365334
"118","30623-ORDEQ:20030819:R:SR",1.00990269201459,0.0595284049812804,0.00354363099961533
"119","30625-ORDEQ:20030818:R:SR",0.955528875491115,0.0709494998074565,0.00503383152292827
"120","30628-ORDEQ:20030902:R:SR",0.937173012528537,0.0633304159374902,0.00401074158281551
"121","30629-ORDEQ:20030918:R:SR",0.986329556950629,0.0693733090371867,0.00481265600676901
"122","30727-ORDEQ:20030820:R:SR",0.946747022360402,0.0945126822934297,0.00893264711429878
"123","31354-ORDEQ:20040707:R:SR",0.90135864630019,0.0539381497154738,0.00290932399472886
"124","31387-ORDEQ:20040708:R:SR",0.710189653764534,0.0972398279256958,0.00945558413501893
"125","31467-ORDEQ:20070918:R:SR",0.704312859142273,0.0702591238262569,0.00493634448083331
"126","31477-ORDEQ:20040715:R:SR",0.7002340042948,0.109494733309826,0.0119890966225898
"127","31480-ORDEQ:20040804:R:SR",0.944387527132233,0.0827604480830778,0.00684929176691181
"128","31485-ORDEQ:20040802:R:SR",0.971394724025815,0.087506700115687,0.00765742256513677
"129","31730-ORDEQ:20040901:R:SR",0.855719494597148,0.0867674971555943,0.00752859856264606
"130","31803-ORDEQ:20040929:R:SR",1.04428661297677,0.0614143341552268,0.00377172043972986
