,sample,mean_MMI,sd_MMI,var_MMI,mean_MMI_rescale,sd_MMI_rescale,,,Subsample Count,OE_X,OE_sd,MMI_X,MMI_sd,MMI.rescale_sd,MMI.rescale_X
79,24046-ORDEQ:20000803:R:SR,0.794777429,0.022753951,0.000517742,1.088736205,0.031169796,,,,,,,,,
80,24056-ORDEQ:20000913:R:SR,0.781134611,0.031815779,0.001012244,1.070047412,0.043583259,,,,,,,,,
81,24062-ORDEQ:20000912:R:SR,0.665189688,0.028081195,0.000788554,0.91121875,0.03846739,,,,,,,,,
82,24068-ORDEQ:20000808:R:SR,0.712357894,0.031685952,0.001004,0.975832732,0.043405414,,,,,,,,,
83,24412-ORDEQ:20000821:R:SR,0.768766094,0.028807874,0.000829894,1.053104239,0.039462841,,,,,,,,,
84,24419-ORDEQ:20000815:R:SR,0.604291252,0.027260442,0.000743132,0.827796235,0.037343071,,,,,,,,,
85,24426-ORDEQ:20010719:R:SR,0.60700311,0.038888447,0.001512311,0.831511109,0.053271845,,,,,,,,,
86,24453-ORDEQ:20000829:R:SR,0.710320498,0.029101851,0.000846918,0.973041778,0.039865549,,,,,,,,,
87,24455-ORDEQ:20000828:R:SR,0.74988181,0.02496325,0.000623164,1.027235356,0.034196233,,,,,,,,,
88,25284-ORDEQ:20010807:R:SR,0.828452258,0,0,1.134866106,0,,,,,,,,,
89,25374-ORDEQ:20010801:R:SR,0.732498312,0.021541172,0.000464022,1.003422345,0.029508455,,,,,,,,,
90,25386-ORDEQ:20010906:R:SR,0.632700732,0.038575508,0.00148807,0.866713331,0.052843162,,,,,,,,,
91,25417-ORDEQ:20010801:R:SR,0.613372222,0.027406922,0.000751139,0.84023592,0.037543729,,,,,,,,,
92,25425-ORDEQ:20010730:R:SR,0.765038086,0.021424472,0.000459008,1.047997378,0.029348592,,,,,,,,,
93,26806-ORDEQ:20020904:R:SR,0.77451795,0.028390049,0.000805995,1.060983493,0.038890478,,,,,,,,,
94,26854-ORDEQ:20020813:R:SR,0.653143252,0.019849832,0.000394016,0.894716783,0.027191551,,,,,,,,,
95,26886-ORDEQ:20020716:R:SR,0.716151448,0.023216824,0.000539021,0.981029381,0.031803868,,,,,,,,,
96,26895-ORDEQ:20020724:R:SR,0.689284211,0.027900484,0.000778437,0.944224946,0.038219841,,,,,,,,,
97,26902-ORDEQ:20020716:R:SR,NA,NA,NA,,,,,,,,,,,
98,26906-ORDEQ:20020723:R:SR,0.661830822,0.021304087,0.000453864,0.906617564,0.029183681,,,,,,,,,
99,26929-ORDEQ:20020711:R:SR,0.680997547,0.022358536,0.000499904,0.932873352,0.030628132,,,,,,,,,
100,26936-ORDEQ:20030730:R:SR,0.723567413,0.032030511,0.001025954,0.991188237,0.043877412,,,,,,,,,
101,26950-ORDEQ:20020731:R:SR,0.723900329,0.028482267,0.00081124,0.991644287,0.039016804,,,,,,,,,
102,26952-ORDEQ:20020905:R:SR,0.693679208,0.022646958,0.000512885,0.950245491,0.03102323,,,,,,,,,
