"","sample","mean_MMI","sd_MMI","var_MMI"
"42","13231-ORDEQ:19990805:R:SR",0.690276327217975,0.0289472223174894,0.000837941679898157
"43","13244-ORDEQ:19990909:R:SR",0.802862475166315,0.0346154715898865,0.00119823087339024
"44","134605",0.591812389293356,0.0760745776300324,0.00578734136158782
"45","134734",0.71742053468436,0.0260148222530577,0.000676770976858185
"46","140016",0.70645209424899,0.0232989176224414,0.00054283956237731
"47","143095",0.718076678701895,0.0340565622111851,0.00115984942964432
"48","148021",0.682833459083307,0.0427600788949439,0.00182842434710183
"49","149814",0.701437500959366,0.0333882795778711,0.00111477721317008
"50","149822",0.626888445977538,0.0553257370168043,0.00306093717645259
"51","150509",0.808460886456998,0.032448535919426,0.00105290748331428
"52","151144",0.649902916403013,0.0397029053114796,0.00157632069017231
"53","151682",0.671153798063698,0.0362610618486989,0.00131486460639517
"54","152645",0.660758768516991,0.0397059075267534,0.0015765590925231
"55","153620",0.713661447218785,0.0437656044879603,0.00191542813619657
"56","153706",0.668715999901808,0.0434183543833563,0.00188515349735871
"57","155884",0.653178320854681,0.0340673162801327,0.0011605820385306
"58","17007-ORDEQ:19980824:R:SR",0.733226438371512,0.0324453744515944,0.00105270232330418
"59","17010-ORDEQ:19980825:R:SR",0.687878581246935,0.0178304200671123,0.000317923879769681
"60","210808",0.748494814401866,0.0341538043904739,0.00116648235434275
"61","21821-ORDEQ:19980813:R:SR-3",0.630347721933872,0.0361239477659242,0.00130493960219522
"62","21842-ORDEQ:20070806:R:SR",0.655258604021358,0.0405223930631208,0.00164206433956206
"63","21855-ORDEQ:19990727:R:SR",0.750678069093173,0.0494399007865818,0.00244430378978705
"64","21857-ORDEQ:19980808:R:SR-1",0.728302011531883,0.0370616609435483,0.00137356671189453
"65","21864-ORDEQ:19990922:R:SR",0.683147474107322,0.0314187320391051,0.000987136722945088
"66","21868-ORDEQ:19990831:R:SR",0.69061620290165,0.0258540943065571,0.000668434192412349
"67","21876-ORDEQ:19990928:R:SR",0.693310483624769,0.0328921295608066,0.00108189218704489
"68","21878-ORDEQ:19980729:R:SR-3",0.66896325395608,0.0489722770236212,0.00239828391687829
"69","21881-ORDEQ:19990713:R:SR",0.74192012415763,0.0351980994133422,0.00123890620231152
"70","22946-ORDEQ:20000822:R:SR",0.749648757406194,0.0346245605883362,0.00119886019593536
"71","23844-ORDEQ:20000711:R:SR",0.758790430728782,0.0256941548096728,0.00066018959138343
"72","23856-ORDEQ:20000712:R:SR",0.598481651583395,0.0427899954400965,0.00183098370976348
"73","23901-ORDEQ:20000907:R:SR",0.766428666439777,0.0336448538949335,0.00113197619361142
"74","23903-ORDEQ:20000822:R:SR",0.773680800128044,0.0256584746949263,0.000658357323670172
"75","23925-ORDEQ:20000828:R:SR",0.792098441686328,0.0346981940053903,0.0012039646672357
"76","23926-ORDEQ:20000823:R:SR",0.651302446686621,0.0508538997036592,0.00258611911506982
"77","24043-ORDEQ:20000816:R:SR",0.7138975965145,0.0387696654499907,0.0015030869591042
"78","24044-ORDEQ:20000913:R:SR",0.633668362923245,0.0341605935118012,0.00116694614907851
"79","24046-ORDEQ:20000803:R:SR",0.740704397680019,0.0278511397095355,0.000775685983120065
"80","24056-ORDEQ:20000913:R:SR",0.728905870128874,0.0357672688837114,0.00127929752339971
"81","24062-ORDEQ:20000912:R:SR",0.629074265894791,0.0320330763765001,0.00102611798214269
"82","24068-ORDEQ:20000808:R:SR",0.667065157757344,0.0385141125022268,0.00148333686183419
"83","24412-ORDEQ:20000821:R:SR",0.721129192145676,0.0402562883949111,0.00162056875533426
"84","24419-ORDEQ:20000815:R:SR",0.536148693112005,0.0426348649435435,0.0018177317087542
"85","24426-ORDEQ:20010719:R:SR",0.557489758660385,0.0443532269142819,0.00196720873770978
"86","24453-ORDEQ:20000829:R:SR",0.652986770465904,0.0527764392425955,0.00278535253912738
"87","24455-ORDEQ:20000828:R:SR",0.689224450532638,0.032307758090203,0.00104379123281508
"88","25284-ORDEQ:20010807:R:SR",0.776322047410076,0.0293342835866474,0.000860500193541852
"89","25374-ORDEQ:20010801:R:SR",0.700501503310048,0.0411524239480809,0.00169352199680259
"90","25386-ORDEQ:20010906:R:SR",0.577003221929305,0.0345729471340714,0.0011952886735353
"91","25417-ORDEQ:20010801:R:SR",0.570607227587864,0.0472648883971224,0.00223396967519244
