"","O","E","OoverE","Onull","Enull","OoverE.null","BC","BC.null"
"175182",13,12.2265553494125,1.06325940777953,12,9.25,1.2972972972973,0.214245171133079,0.176470588235294
"175293",7,6.70672502984481,1.0437284917527,7,9.25,0.756756756756757,0.197764552184642,0.298076923076923
"175294",7,7.34360227053055,0.953210664484185,9,9.25,0.972972972972973,0.209223950841753,0.246575342465753
"175295",4,6.66253928719682,0.600371694270781,5,9.25,0.540540540540541,0.287913843196754,0.375
"175297",7,6.58569855447379,1.06290926347438,5,9.25,0.540540540540541,0.111460204510407,0.37280701754386
"175303",6,7.12964721845319,0.84155636543567,7,9.25,0.756756756756757,0.192935498705634,0.3
"175336",13,12.0778985965356,1.07634617860833,10,9.25,1.08108108108108,0.246284305169226,0.230519480519481
"176001",7,11.4530712530713,0.611189771313339,7,9.25,0.756756756756757,0.408124733702599,0.353846153846154
"176029",12,10.4640621779015,1.14678217655685,11,9.25,1.18918918918919,0.165184961102666,0.189814814814815
"176036",7,12.0932808641427,0.578833823396546,7,9.25,0.756756756756757,0.395699061803248,0.344230769230769
"176037",13,13.0580463015246,0.995554748376272,10,9.25,1.08108108108108,0.246489616198038,0.24025974025974
"176039",12,12.4560687797051,0.963385817165025,10,9.25,1.08108108108108,0.235751976599036,0.230519480519481
"176040",13,12.8259268433655,1.01357197485689,11,9.25,1.18918918918919,0.235217643780528,0.197530864197531
"176162",14,11.9632678132678,1.17024881650425,13,9.25,1.40540540540541,0.166418252965586,0.168539325842697
"185372",12,11.4222448011922,1.05058158084193,9,9.25,0.972972972972973,0.246782962894763,0.23972602739726
"185373",7,10.0791847510963,0.694500614173046,6,9.25,0.648648648648649,0.371897426878075,0.385245901639344
"185374",10,11.3825741981362,0.878535894071962,9,9.25,0.972972972972973,0.271217056610907,0.236301369863014
"185375",6,8.98768040069313,0.667580480447133,6,9.25,0.648648648648649,0.351165543114616,0.366803278688525
"185376",6,7.02823438466296,0.853699474379117,5,9.25,0.540540540540541,0.20048246862162,0.390350877192982
